priority,name,matched_url
2,London Eater map articles,https://london.eater.com/maps/best-london-buns-bao-chelsea-morning
2,London Eater map articles,https://london.eater.com/maps/best-london-cafes-freelancers-work-wifi
2,London Eater map articles,https://london.eater.com/maps/best-london-pasta-dishes-italians-mad-at-food
2,London Eater map articles,https://london.eater.com/maps/best-london-pubs
2,London Eater map articles,https://london.eater.com/maps/best-london-restaurant-fireplaces-christmas-2018
2,London Eater map articles,https://london.eater.com/maps/best-london-restaurant-hidden-gems-michelin-star
2,London Eater map articles,https://london.eater.com/maps/best-london-restaurant-meal-kits-delivery
2,London Eater map articles,https://london.eater.com/maps/best-london-restaurant-own-delivery
2,London Eater map articles,https://london.eater.com/maps/best-london-restaurant-pop-ups-food-events
2,London Eater map articles,https://london.eater.com/maps/best-london-restaurants-bars-live-music-jazz-blues
2,London Eater map articles,https://london.eater.com/maps/best-london-restaurants-hangover-cure
2,London Eater map articles,https://london.eater.com/maps/best-london-restaurants-kurdish-kashmiri-basque-uyghur
2,London Eater map articles,https://london.eater.com/maps/best-lunar-new-year-menus-london-restaurant-feasts
2,London Eater map articles,https://london.eater.com/maps/best-martinis-london-cocktail-bars
2,London Eater map articles,https://london.eater.com/maps/best-milkshakes-milk-drinks-london
2,London Eater map articles,https://london.eater.com/maps/best-mince-pies-london
2,London Eater map articles,https://london.eater.com/maps/best-mithai-shops-london
2,London Eater map articles,https://london.eater.com/maps/best-modern-indian-restaurants-michelin-stars-london
2,London Eater map articles,https://london.eater.com/maps/best-new-cafes-coffee-shops-london
2,London Eater map articles,https://london.eater.com/maps/best-new-cocktail-bars-london
2,London Eater map articles,https://london.eater.com/maps/best-new-london-restaurant-openings-2019
2,London Eater map articles,https://london.eater.com/maps/best-new-restaurants-london-heatmap
2,London Eater map articles,https://london.eater.com/maps/best-noodle-soups-london-ramen-laksa-pho
2,London Eater map articles,https://london.eater.com/maps/best-noodles-london
2,London Eater map articles,https://london.eater.com/maps/best-north-indian-restaurants-london
2,London Eater map articles,https://london.eater.com/maps/best-offal-nose-to-tail-restaurants-london
2,London Eater map articles,https://london.eater.com/maps/best-outdoor-dining-london-restaurants
2,London Eater map articles,https://london.eater.com/maps/best-outdoor-restaurants-london-shelter-rain
2,London Eater map articles,https://london.eater.com/maps/best-pakistani-food-restaurants-london
