batch_order,batch_key,batch_folder,input_row_number,url
1,maps,01_maps,75,https://london.eater.com/maps/best-restaurants-kings-road-chelsea-london
1,maps,01_maps,76,https://london.eater.com/maps/best-restaurants-lake-district-cumbria
1,maps,01_maps,77,https://london.eater.com/maps/best-restaurants-lewisham-south-east-london-greenwich-sparrow
1,maps,01_maps,78,https://london.eater.com/maps/best-restaurants-listed-buildings-london-quirky-historic
1,maps,01_maps,79,https://london.eater.com/maps/best-restaurants-london-art-galleries
1,maps,01_maps,80,https://london.eater.com/maps/best-restaurants-london-fields-broadway-market-hackney
1,maps,01_maps,81,https://london.eater.com/maps/best-restaurants-london-parks-hyde-park-regents-park-clapham-common
1,maps,01_maps,82,https://london.eater.com/maps/best-restaurants-london-thames-view-waterside
1,maps,01_maps,83,https://london.eater.com/maps/best-restaurants-margate-kent
1,maps,01_maps,84,https://london.eater.com/maps/best-restaurants-new-cross
1,maps,01_maps,85,https://london.eater.com/maps/best-restaurants-newington-green-london
1,maps,01_maps,86,https://london.eater.com/maps/best-restaurants-oxford-street-oxford-circus
1,maps,01_maps,87,https://london.eater.com/maps/best-restaurants-peckham
1,maps,01_maps,88,https://london.eater.com/maps/best-restaurants-shoreditch-london
1,maps,01_maps,89,https://london.eater.com/maps/best-restaurants-soho
1,maps,01_maps,90,https://london.eater.com/maps/best-restaurants-stoke-newington
1,maps,01_maps,91,https://london.eater.com/maps/best-restaurants-stratford-westfield-east-london
1,maps,01_maps,92,https://london.eater.com/maps/best-restaurants-tooting
1,maps,01_maps,93,https://london.eater.com/maps/best-restaurants-vauxhall-south-london
1,maps,01_maps,94,https://london.eater.com/maps/best-restaurants-victoria-pimlico-london
1,maps,01_maps,95,https://london.eater.com/maps/best-restaurants-westminster-parliament-london
1,maps,01_maps,96,https://london.eater.com/maps/best-restaurants-wimbledon
1,maps,01_maps,97,https://london.eater.com/maps/best-restaurants-woolwich-plumstead-south-east-london
1,maps,01_maps,98,https://london.eater.com/maps/best-trinidadian-roti-caribbean-food-london-restaurant-guide
1,maps,01_maps,99,https://london.eater.com/maps/general-election-2019-canvassing-best-restaurants-chipping-barnet
1,maps,01_maps,100,https://london.eater.com/maps/general-election-2019-marginal-dagenham-rainham-best-restaurants-canvassing
1,maps,01_maps,101,https://london.eater.com/maps/general-election-2019-marginals-finchley-golders-green-best-restaurants
1,maps,01_maps,102,https://london.eater.com/maps/general-election-2019-wimbledon-constituency-best-restaurants
1,maps,01_maps,103,https://london.eater.com/maps/general-election-marginals-best-restaurants-chingford-woodford-green
1,maps,01_maps,104,https://london.eater.com/maps/michelin-bib-gourmand-restaurants-london
1,maps,01_maps,105,https://london.eater.com/maps/michelin-star-restaurant-set-menus-lunch-deals-london
1,maps,01_maps,106,https://london.eater.com/maps/mothers-day-gifts-2021-meal-kits-restaurant-delivery
1,maps,01_maps,107,https://london.eater.com/maps/best-anchovy-dishes-london-restaurants
1,maps,01_maps,108,https://london.eater.com/maps/best-aperitivo-spritz-london-bars-restaurants
1,maps,01_maps,109,https://london.eater.com/maps/best-breakfasts-london-restaurants-cafes
1,maps,01_maps,110,https://london.eater.com/maps/best-cafes-bars-elephant-and-castle-london
1,maps,01_maps,111,https://london.eater.com/maps/best-caribbean-food-london-restaurants
1,maps,01_maps,112,https://london.eater.com/maps/best-chinese-restaurants-london-takeaway
1,maps,01_maps,113,https://london.eater.com/maps/best-comfort-food-london-restaurants
1,maps,01_maps,114,https://london.eater.com/maps/best-east-african-restaurants-london-ethiopian-eritrean-somali-food
1,maps,01_maps,115,https://london.eater.com/maps/best-greek-restaurants-greek-cypriot-food-london
1,maps,01_maps,116,https://london.eater.com/maps/best-hotel-restaurants-bars-london
1,maps,01_maps,117,https://london.eater.com/maps/best-indian-restaurants-london-eastern-indian-food
1,maps,01_maps,118,https://london.eater.com/maps/best-indo-chinese-restaurants-london-desi-chinese-food
1,maps,01_maps,119,https://london.eater.com/maps/best-london-pasta-dishes-italians-mad-at-food
1,maps,01_maps,120,https://london.eater.com/maps/best-london-restaurants-bars-live-music-jazz-blues
1,maps,01_maps,121,https://london.eater.com/maps/best-outdoor-dining-london-restaurants
1,maps,01_maps,122,https://london.eater.com/maps/best-pakistani-food-restaurants-london
1,maps,01_maps,123,https://london.eater.com/maps/best-pub-food-london-scotch-egg-sausage-roll
1,maps,01_maps,124,https://london.eater.com/maps/best-rooftop-bars-restaurants-london
1,maps,01_maps,125,https://london.eater.com/maps/best-sausages-london-restaurant-dishes
1,maps,01_maps,126,https://london.eater.com/maps/best-special-occasion-restaurants-london-splurge-meals
1,maps,01_maps,127,https://london.eater.com/maps/best-sunday-roast-london-restaurants-pubs
1,maps,01_maps,128,https://london.eater.com/maps/best-vegan-fast-food-plant-based-restaurants-london
1,maps,01_maps,129,https://london.eater.com/maps/best-wine-drink-sherry-bars-london-spanish-restaurants
1,maps,01_maps,130,https://london.eater.com/maps/bone-broth-soup-best-winter-warmer-meals-london-restaurants
1,maps,01_maps,131,https://london.eater.com/maps/east-dulwich-restaurants-10-best-london-places-to-eat
